"경기도","남자인구수 (명)",174784,147104,89179,40169,15770,5387,1067,613,185878,151130,97027,44510,16685,6143,1154,665,196371,153899,104560,49590,18710,6554,1355,733,207900,157782,110635,56423,20565,6731,1532,792,211457,162468,119014,63487,22835,6977,1774,876,228209,168898,131654,69846,25778,7321,2017,829,239948,181198,136912,76803,28673,7918,2281,912,261574,192380,140267,83895,32465,9089,2333,1032,294622,203002,144380,89337,37212,10155,2350,1157,330553,204473,148337,95985,41691,10936,2143,348
"경기도","여자인구수 (명)",197619,185823,134493,81978,40688,15093,3789,1686,205960,189263,142965,86995,44193,17108,3990,1857,214437,190271,150970,93446,49099,18119,4305,2026,226041,192415,155366,102378,53565,19844,4697,2216,228767,194675,163992,111608,57410,21418,5288,2429,243473,198958,177804,119020,62055,23361,6072,2540,255187,209238,183116,127728,66620,25787,6790,2690,275473,219052,185573,136197,72783,29118,7228,2882,309961,230467,187966,141312,80352,31929,7955,3158,345727,231172,189591,149220,87592,34144,8140,1412
"강원도","총인구수 (명)",72333,73834,48952,26927,13337,4671,1162,478,72813,73974,53034,28468,14255,5253,1219,523,72361,73256,56843,30548,15347,5681,1340,554,72213,72123,59607,33023,16519,6146,1432,608,70835,70620,62162,36316,17472,6527,1564,656,77070,69535,66086,39372,18490,7000,1726,697,80305,70180,66370,42777,19546,7509,1988,711,88478,69873,66118,46187,21143,8220,2073,794,100092,69876,65583,48895,23117,8971,2293,864,111947,68389,64238,51114,25472,9372,2286,358
"강원도","남자인구수 (명)",33954,32540,19568,8321,3835,1278,277,159,34317,32613,21583,9046,3949,1486,296,181,34427,32425,23480,9920,4038,1629,336,194,34386,32183,24849,11149,4309,1686,360,205,33646,31887,25993,12725,4650,1721,384,211,36868,31826,27639,14298,4983,1741,443,200,38765,32452,27824,15881,5435,1757,538,207,43139,32715,27943,17494,5959,1813,550,248,49281,32729,28001,18746,6801,1957,601,266,55712,31939,27856,19563,7803,2061,505,69
"강원도","여자인구수 (명)",38379,41294,29384,18606,9502,3393,885,319,38496,41361,31451,19422,10306,3767,923,342,37934,40831,33363,20628,11309,4052,1004,360,37827,39940,34758,21874,12210,4460,1072,403,37189,38733,36169,23591,12822,4806,1180,445,40202,37709,38447,25074,13507,5259,1283,497,41540,37728,38546,26896,14111,5752,1450,504,45339,37158,38175,28693,15184,6407,1523,546,50811,37147,37582,30149,16316,7014,1692,598,56235,36450,36382,31551,17669,7311,1781,289
"충청북도","총인구수 (명)",60934,64505,47887,25345,11349,3991,923,311,62474,64524,49880,27448,12228,4334,945,355,64080,63061,52342,29956,13513,4555,993,400,66119,62229,52357,33110,14581,4940,1037,440,67836,60318,53799,36293,15595,5161,1217,471,73292,58591,57766,38489,16823,5598,1398,477,76533,60285,58146,40213,18487,6093,1485,521,82667,61899,57003,42548,20308,6881,1585,534,92282,64012,56507,42884,22685,7504,1705,569,102395,65336,54732,44266,24927,7933,1659,268
"충청북도","남자인구수 (명)",28492,28026,18590,7900,3213,961,193,82,29798,28129,19587,8678,3463,1024,205,93,31104,27477,20873,9742,3693,1101,197,104,32222,27410,21147,11112,3901,1190,194,114,33096,26962,21907,12507,4100,1251,236,125,35988,26728,23762,13497,4506,1326,289,134,37611,28112,24054,14350,5058,1442,302,141,40599,29438,23623,15491,5764,1582,336,151,45476,30570,23702,15881,6658,1683,368,161,50842,31283,23380,16564,7448,1756,325,39
"충청북도","여자인구수 (명)",32442,36479,29297,17445,8136,3030,730,229,32676,36395,30293,18770,8765,3310,740,262,32976,35584,31469,20214,9820,3454,796,296,33897,34819,31210,21998,10680,3750,843,326,34740,33356,31892,23786,11495,3910,981,346,37304,31863,34004,24992,12317,4272,1109,343,38922,32173,34092,25863,13429,4651,1183,380,42068,32461,33380,27057,14544,5299,1249,383,46806,33442,32805,27003,16027,5821,1337,408,51553,34053,31352,27702,17479,6177,1334,229
"충청남도","총인구수 (명)",81879,90394,72058,40050,17484,6102,1331,542,85361,88685,74970,43213,19112,6809,1466,579,89231,86275,77411,47376,21079,7148,1666,621,95903,84428,76011,52160,22599,7721,1712,680,99447,81949,76860,56611,24475,8123,1905,738,103152,79727,82097,58819,27478,8716,2203,754,103997,83461,80819,61600,29897,9524,2438,779,109071,87440,79161,64045,32946,10648,2498,865,118479,93901,77538,63284,36681,11709,2675,921,127794,96915,75152,64308,39865,12831,2697,417
"충청남도","남자인구수 (명)",38574,38691,28856,13838,5111,1463,286,104,40944,38104,30038,15171,5638,1624,321,115,43513,37231,31015,16938,6219,1699,372,120,46839,36879,30680,18760,6605,1839,360,145,48507,36798,31047,20592,7165,1942,396,159,50300,36832,33369,21500,8214,2101,444,165,50787,39323,33027,22582,9115,2298,489,176,53219,41890,32710,23545,10321,2541,507,198,58153,45026,32581,23482,11573,2840,544,204,63020,46516,32555,23909,12665,3117,527,65
"충청남도","여자인구수 (명)",43305,51703,43202,26212,12373,4639,1045,438,44417,50581,44932,28042,13474,5185,1145,464,45718,49044,46396,30438,14860,5449,1294,501,49064,47549,45331,33400,15994,5882,1352,535,50940,45151,45813,36019,17310,6181,1509,579,52852,42895,48728,37319,19264,6615,1759,589,53210,44138,47792,39018,20782,7226,1949,603,55852,45550,46451,40500,22625,8107,1991,667,60326,48875,44957,39802,25108,8869,2131,717,64774,50399,42597,40399,27200,9714,2170,352
"전라북도","총인구수 (명)",84112,89843,66807,38154,16840,5992,1316,522,87492,88225,69316,40745,18176,6821,1407,582,91901,85317,71862,44223,20205,6969,1546,603,98716,83782,71225,48181,22256,7039,1686,639,99944,82388,73568,51298,24021,7470,1817,697,99781,80349,80641,53751,25614,8332,2108,706,99878,83523,79342,55907,27578,9108,2326,748,104088,87806,77071,58305,30110,10203,2289,804,109858,94488,75852,58370,33134,11298,2347,856,116047,95579,74758,60589,35402,12442,2397,405
"전라북도","남자인구수 (명)",39156,37743,25422,12342,4725,1305,197,97,41406,37031,26678,13302,5129,1471,222,106,43736,36077,27812,14625,5708,1572,238,116,47235,35884,27762,16224,6160,1593,273,122,47933,36068,29015,17516,6542,1700,318,141,47873,36386,32016,18621,7073,1929,396,140,48117,38457,31625,19639,7815,2095,420,151,50478,40717,31043,20702,8640,2373,442,163,53421,44102,31053,20914,9786,2584,449,177,56721,44810,31334,21995,10660,2831,423,54
"전라북도","여자인구수 (명)",44956,52100,41385,25812,12115,4687,1119,425,46086,51194,42638,27443,13047,5350,1185,476,48165,49240,44050,29598,14497,5397,1308,487,51481,47898,43463,31957,16096,5446,1413,517,52011,46320,44553,33782,17479,5770,1499,556,51908,43963,48625,35130,18541,6403,1712,566,51761,45066,47717,36268,19763,7013,1906,597,53610,47089,46028,37603,21470,7830,1847,641,56437,50386,44799,37456,23348,8714,1898,679,59326,50769,43424,38594,24742,9611,1974,351
